mentions,,,non-mentions,,,,,,,,,,,,,,,
NN : .,322,0.011885427,DT : DT,337,0.001312678,,,,,,,,,,,,,
NN : :,12,0.000442935,DT : EX,6,2.34E-05,,,,,,,,,,,,,
NN : CC,108,0.003986417,DT : FW,12,4.67E-05,,,,,,,,,,,,,
NN : DT,3,0.000110734,DT : IN,6440,0.025085012,,,,,,,,,,,,,
NN : IN,149,0.005499779,DT : JJ,1068,0.004160061,,,,,,,,,,,,,
NN : JJ,5,0.000184556,DT : JJR,12,4.67E-05,,,,,,,,,,,,,
NN : JJS,1,3.69E-05,DT : JJS,83,0.000323301,,,,,,,,,,,,,
NN : MD,4,0.000147645,DT : MD,73,0.000284349,,,,,,,,,,,,,
NN : NN,70,0.002583789,DT : NN,6338,0.024687703,,,,,,,,,,,,,
NN : NNP,130,0.004798464,DT : NNP,3021,0.011767364,,,,,,,,,,,,,
NN : NNS,2,7.38E-05,DT : NNPS,115,0.000447947,,,,,,,,,,,,,
NN : PDT,1,3.69E-05,DT : NNS,656,0.002555244,,,,,,,,,,,,,
NN : POS,8,0.00029529,DT : NONE,310,0.001207508,,,,,,,,,,,,,
NN : RB,14,0.000516758,DT : PDT,1,3.90E-06,,,,,,,,,,,,,
NN : TO,21,0.000775137,DT : POS,4,1.56E-05,,,,,,,,,,,,,
NN : VBD,83,0.003063635,DT : PRP,223,0.000868627,,,,,,,,,,,,,
NN : VBG,4,0.000147645,DT : PRP$,49,0.000190864,,,,,,,,,,,,,
NN : VBN,4,0.000147645,DT : RB,234,0.000911474,,,,,,,,,,,,,
NN : VBP,7,0.000258379,DT : RBR,2,7.79E-06,,,,,,,,,,,,,
NN : VBZ,45,0.001661007,DT : RBS,29,0.00011296,,,,,,,,,,,,,
NN : WDT,10,0.000369113,DT : RP,7,2.73E-05,,,,,,,,,,,,,
NN : WP,2,7.38E-05,DT : SYM,2,7.79E-06,,,,,,,,,,,,,
NN : WP$,1,3.69E-05,DT : TO,246,0.000958216,,,,,,,,,,,,,
NN : WRB,3,0.000110734,DT : VB,12,4.67E-05,,,,,,,,,,,,,
NNP : (,10,0.000369113,DT : VBD,1053,0.004101633,,,,,,,,,,,,,
NNP : ),26,0.000959693,DT : VBG,160,0.00062323,,,,,,,,,,,,,
"NNP : ,",325,0.011996161,DT : VBN,340,0.001324364,,,,,,,,,,,,,
NNP : .,211,0.007788277,DT : VBP,160,0.00062323,,,,,,,,,,,,,
NNP : :,67,0.002473055,DT : VBZ,802,0.003123941,,,,,,,,,,,,,
NNP : CC,103,0.00380186,DT : WDT,166,0.000646601,,,,,,,,,,,,,
NNP : CD,8,0.00029529,DT : WP,49,0.000190864,,,,,,,,,,,,,
NNP : DT,1,3.69E-05,DT : WP$,6,2.34E-05,,,,,,,,,,,,,
NNP : FW,1,3.69E-05,DT : WRB,51,0.000198655,,,,,,,,,,,,,
NNP : IN,200,0.007382253,EX : CC,2,7.79E-06,,,,,,,,,,,,,
NNP : JJ,8,0.00029529,EX : CD,23,8.96E-05,,,,,,,,,,,,,
NNP : MD,8,0.00029529,EX : DT,40,0.000155808,,,,,,,,,,,,,
NNP : NN,223,0.008231212,EX : IN,3,1.17E-05,,,,,,,,,,,,,
NNP : NNP,1183,0.043666027,EX : JJ,12,4.67E-05,,,,,,,,,,,,,
NNP : NNS,9,0.000332201,EX : JJR,1,3.90E-06,,,,,,,,,,,,,
NNP : NONE,1,3.69E-05,EX : NNS,2,7.79E-06,,,,,,,,,,,,,
NNP : POS,29,0.001070427,EX : PRP$,1,3.90E-06,,,,,,,,,,,,,
NNP : PRP,1,3.69E-05,EX : RB,17,6.62E-05,,,,,,,,,,,,,
NNP : RB,3,0.000110734,EX : VB,1,3.90E-06,,,,,,,,,,,,,
NNP : TO,9,0.000332201,EX : VBD,1,3.90E-06,,,,,,,,,,,,,
NNP : VB,3,0.000110734,EX : VBN,7,2.73E-05,,,,,,,,,,,,,
NNP : VBD,156,0.005758157,EX : VBZ,1,3.90E-06,,,,,,,,,,,,,
NNP : VBG,10,0.000369113,FW : (,3,1.17E-05,,,,,,,,,,,,,
NNP : VBN,6,0.000221468,"FW : ,",1,3.90E-06,,,,,,,,,,,,,
NNP : VBP,11,0.000406024,FW : CC,10,3.90E-05,,,,,,,,,,,,,
NNP : VBZ,45,0.001661007,FW : CD,2,7.79E-06,,,,,,,,,,,,,
NNP : WDT,6,0.000221468,FW : DT,4,1.56E-05,,,,,,,,,,,,,
NNP : WP,10,0.000369113,FW : FW,7,2.73E-05,,,,,,,,,,,,,
NNP : WRB,1,3.69E-05,FW : IN,15,5.84E-05,,,,,,,,,,,,,
